query,op,cats,window,gold,ans_true,ans_pred,cited,slots_ok,ans_ok_true,ans_ok_pred
How much did I spend on food last month?,total,dining|groceries,last_month,735.6,735.6,735.6,14,True,True,True
How much did I spend on groceries in March?,total,groceries,month:march,606.68,606.68,606.68,9,True,True,True
What was my total spending last quarter?,total,,last_quarter,20002.13,20002.13,20002.13,88,True,True,True
How much did I spend on dining this year?,total,dining,year_2025,4426.11,4426.11,4426.11,93,True,True,True
How many transport transactions did I have last quarter?,count,transport,last_quarter,9,9,9,9,True,True,True
What was my biggest shopping expense this year?,max,shopping,year_2025,595.73,595.73,595.73,97,True,True,True
What is my average dining transaction this year?,average,dining,year_2025,47.59,47.59,47.59,93,True,True,True
How much income did I earn this year?,total,income,year_2025,51791.17,51791.17,47459.93,21,True,True,False
How much did I spend on utilities in the last 6 months?,total,utilities,last_6_months,3722.1,3722.1,3588.43,23,True,True,False
How much did I spend on entertainment last month?,total,entertainment,last_month,156.51,156.51,156.51,3,True,True,True
How many health transactions this year?,count,health,year_2025,43,43,43,43,True,True,True
What was my total rent spending this year?,total,rent,year_2025,44971.71,44971.71,44971.71,23,True,True,True
How much did I spend on travel in July?,total,transport,month:july,345.87,345.87,345.87,5,True,True,True
What is my most expensive dining expense last quarter?,max,dining,last_quarter,89.67,89.67,89.67,19,True,True,True
How much did I spend on shopping in the last 6 months?,total,shopping,last_6_months,10130.28,10130.28,10130.28,34,True,True,True
What was my average grocery transaction this year?,average,groceries,year_2025,93.23,93.23,96.23,97,True,True,False
How much did I spend on subscriptions this year?,total,entertainment,year_2025,2308.11,2308.11,2308.11,59,True,True,True
How many dining transactions did I have this year?,count,dining,year_2025,93,93,93,93,True,True,True
What was my total spending on health this year?,total,health,year_2025,11349.98,11349.98,10962.87,43,True,True,False
How much did I spend overall in March?,total,,month:march,14173.42,14173.42,14173.42,53,True,True,True
What was my biggest transport expense this year?,max,transport,year_2025,116.57,116.57,116.57,66,True,True,True
How much did I spend on food this year?,total,dining|groceries,year_2025,13469.43,13469.43,13856.54,190,True,True,False
